config_key,dataset,evidence_pos,density,interference,status,num_sequences,avg_detections,std_detections,min_detections,max_detections,pct_with_detections
"('02_hotpot_citation', 'End', 'High', 'T')",02_hotpot_citation,End,High,T,success,16,2.3125,4.340488883754916,0,16,31.25
"('02_hotpot_citation', 'End', 'Low', 'N')",02_hotpot_citation,End,Low,N,success,10,0.3,0.9000000000000001,0,3,10.0
"('02_hotpot_citation', 'End', 'Low', 'P')",02_hotpot_citation,End,Low,P,success,13,2.1538461538461537,4.62179042639994,0,17,30.76923076923077
"('02_hotpot_citation', 'End', 'Low', 'T')",02_hotpot_citation,End,Low,T,success,10,0.5,1.5,0,5,10.0
"('02_hotpot_citation', 'End', 'Medium', 'N')",02_hotpot_citation,End,Medium,N,success,9,1.0,2.0,0,6,22.22222222222222
"('02_hotpot_citation', 'End', 'Medium', 'P')",02_hotpot_citation,End,Medium,P,success,13,2.6923076923076925,3.810604946615642,0,12,46.15384615384615
"('02_hotpot_citation', 'End', 'Medium', 'T')",02_hotpot_citation,End,Medium,T,success,11,0.7272727272727273,2.2998382983042753,0,8,9.090909090909092
"('02_hotpot_citation', 'Mid', 'High', 'N')",02_hotpot_citation,Mid,High,N,success,9,0.0,0.0,0,0,0.0
"('02_hotpot_citation', 'Mid', 'High', 'P')",02_hotpot_citation,Mid,High,P,success,16,2.125,5.395310463726809,0,22,25.0
"('02_hotpot_citation', 'Mid', 'High', 'T')",02_hotpot_citation,Mid,High,T,success,13,3.923076923076923,7.332347073718446,0,21,23.076923076923077
"('02_hotpot_citation', 'Mid', 'Low', 'N')",02_hotpot_citation,Mid,Low,N,success,8,0.0,0.0,0,0,0.0
"('02_hotpot_citation', 'Mid', 'Low', 'P')",02_hotpot_citation,Mid,Low,P,success,16,1.0,1.8371173070873836,0,5,25.0
"('02_hotpot_citation', 'Mid', 'Low', 'T')",02_hotpot_citation,Mid,Low,T,success,15,0.0,0.0,0,0,0.0
"('02_hotpot_citation', 'Mid', 'Medium', 'N')",02_hotpot_citation,Mid,Medium,N,success,8,0.0,0.0,0,0,0.0
"('02_hotpot_citation', 'Mid', 'Medium', 'P')",02_hotpot_citation,Mid,Medium,P,success,17,1.6470588235294117,2.5191309535722186,0,7,35.294117647058826
"('02_hotpot_citation', 'Mid', 'Medium', 'T')",02_hotpot_citation,Mid,Medium,T,success,14,0.0,0.0,0,0,0.0
"('03_novelhop_multihop', 'Beg', 'High', 'N')",03_novelhop_multihop,Beg,High,N,success,20,5.25,9.267550917043833,0,30,30.0
"('03_novelhop_multihop', 'Beg', 'High', 'P')",03_novelhop_multihop,Beg,High,P,success,20,2.7,6.058877783880443,0,27,40.0
"('03_novelhop_multihop', 'Beg', 'High', 'T')",03_novelhop_multihop,Beg,High,T,success,20,1.4,3.9038442591886264,0,14,15.0
"('03_novelhop_multihop', 'Beg', 'Low', 'N')",03_novelhop_multihop,Beg,Low,N,success,19,0.15789473684210525,0.6698906348083083,0,3,5.263157894736842
