domain,question_id,config,interference_score_lexical_wrt_distractors,evidence_overlap_ratio,hallu_score,distractor_density,evid_overlap_ngram,evid_overlap_emb,total_response_tokens,interference_token_hits,att_avg_entropy,attention_entropy,cross_attention_mass_to_gold,distractor_attention_max,hallucination_score,distractor_density_chunk,chunk_hallu_score,evidence_overlap_emb,seq_len,resp_len,gold_len,dist_len,cross_attention_mass_to_gold_raw,gold_found,dist_found,gold_available
01_nq_closed_book,0,Low-N-Beg,0.3127561942651456,0.34023925724128884,0.247276688453159,2.0,0.041462808679293486,0.34023925724128884,19.88888888888889,0.2222222222222222,2.5589549974961714,,,0.2510764382102273,0.3516796122897755,0.33,0.6483203877102245,0.34023925724128884,813.4545454545455,31.454545454545453,131.0,630.0,175.9431818181818,1.0,1.0,1.0
01_nq_closed_book,0,Low-N-End,0.217391304347826,0.8445245623588562,0.0869565217391304,2.0,0.0260869565217391,0.8445245623588562,27.0,1.0,2.017897844314575,,,0.40869140625,0.1422467231750488,0.33,0.8577532768249512,0.8445245623588562,762.0,42.0,0.0,707.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Low-N-Mid,0.4,0.7140223383903503,0.0666666666666666,2.0,0.009090909090909,0.7140223383903503,16.0,3.0,2.1904313564300537,,,0.445068359375,0.1803726553916931,0.33,0.8196273446083069,0.7140223383903503,748.0,25.0,0.0,710.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Low-P-Beg,0.4188556561458575,0.3590990616939962,0.18541666666666667,2.0,0.05529018637425711,0.3590990616939962,22.5,2.625,2.6179701328277587,,,0.3285888671875,0.3288968354463577,0.33,0.6711031645536423,0.3590990616939962,796.0,37.0,189.0,549.0,100.975,1.0,1.0,1.0
01_nq_closed_book,0,Low-P-End,0.8456140350877193,0.4834470848242442,0.44093567251461985,2.0,0.0,0.4834470848242442,19.333333333333332,5.0,2.371931870778402,,,0.3841145833333333,0.31278524796168,0.33,0.6872147520383199,0.4834470848242442,614.6666666666666,28.666666666666668,0.0,573.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Low-P-Mid,0.5781007751937984,0.41166762113571165,0.3674612403100775,2.0,0.014300350507247019,0.41166762113571165,31.0,4.8,2.3696008920669556,,,0.3961588541666667,0.2949336667855581,0.33,0.7050663332144419,0.41166762113571165,573.5,36.5,0.0,524.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Low-T-Beg,0.4186507936507936,0.37869497016072273,0.2787698412698413,2.0,0.015847665847665823,0.37869497016072273,18.25,1.75,2.223185956478119,,,0.40020751953125,0.3064792454242706,0.33,0.6935207545757294,0.37869497016072273,552.25,24.25,0.0,515.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Low-T-End,0.37670807453416144,0.4106662034988403,0.19726708074534163,2.0,0.031319507586108616,0.4106662034988403,22.0,2.6,2.2422016620635987,,,0.361865234375,0.3254610359668731,0.33,0.6745389640331269,0.4106662034988403,607.6,28.6,0.0,566.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Low-T-Mid,0.8661640211640211,0.47646144926548006,0.5078306878306877,2.0,0.0017391304347826,0.47646144926548006,25.0,8.0,2.3863203525543213,,,0.411962890625,0.35150618553161617,0.33,0.6484938144683838,0.47646144926548006,585.2,37.2,0.0,535.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Medium-N-Beg,0.39560799410343844,0.3666225275956094,0.20163753907360044,2.0,0.05000567369004368,0.3666225275956094,22.5,1.25,2.6929849863052366,,,0.339892578125,0.3194968909025192,0.67,0.6805031090974808,0.3666225275956094,2036.9,34.9,122.0,1859.0,96.478125,1.0,1.0,1.0
01_nq_closed_book,0,Medium-N-End,0.2666666666666666,0.7140223383903503,0.0666666666666666,2.0,0.009090909090909,0.7140223383903503,16.0,0.0,2.394256591796875,,,0.455810546875,0.1803726553916931,0.67,0.8196273446083069,0.7140223383903503,1966.0,25.0,0.0,1928.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Medium-N-Mid,0.3333333333333333,0.7140223383903503,0.0666666666666666,2.0,0.009090909090909,0.7140223383903503,16.0,1.0,2.369765281677246,,,0.4248046875,0.1803726553916931,0.67,0.8196273446083069,0.7140223383903503,1988.0,25.0,0.0,1950.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Medium-P-Beg,0.5418402861071232,0.3745501616762744,0.14270152505446623,2.0,0.049275780947639666,0.3745501616762744,20.444444444444443,2.4444444444444446,2.713229547847401,,,0.3616388494318182,0.3291346674615686,0.6699999999999999,0.6708653325384314,0.3745501616762744,1729.1818181818182,35.18181818181818,189.0,1484.0,66.94744318181819,1.0,1.0,1.0
01_nq_closed_book,0,Medium-P-End,0.9880952380952381,0.39733579754829407,0.5047619047619047,2.0,0.00221238938053095,0.39733579754829407,21.75,7.5,2.6002864241600037,,,0.41387939453125,0.3822589069604873,0.67,0.6177410930395126,0.39733579754829407,1589.5,29.5,0.0,1547.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Medium-P-Mid,1.0,0.37364282307680696,0.5348473136480859,2.0,0.0,0.37364282307680696,19.625,7.125,2.9048326280381946,,,0.4415690104166667,0.3547203474574618,0.67,0.6452796525425382,0.37364282307680696,1745.888888888889,31.88888888888889,0.0,1701.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Medium-T-Beg,0.7341654531585882,0.44074374437332153,0.16356470887363334,2.0,0.0258693425596892,0.44074374437332153,22.8,6.0,2.5310972213745115,,,0.4236328125,0.2977178454399108,0.67,0.7022821545600891,0.44074374437332153,1601.8,30.8,0.0,1558.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Medium-T-End,0.8725490196078431,0.3840379230678081,0.5647574819401445,2.0,0.0021551724137931,0.3840379230678081,21.0,7.0,2.6941710710525513,,,0.40289306640625,0.3394808173179626,0.67,0.6605191826820374,0.3840379230678081,1639.75,31.75,0.0,1595.0,0.0,0.0,1.0,0.0
01_nq_closed_book,0,Medium-T-Mid,0.9501008308461725,0.4537890298025949,0.4503802443243437,2.0,0.0025284450063211,0.4537890298025949,21.714285714285715,7.0,2.747943469456264,,,0.4285365513392857,0.420641941683633,0.6700000000000002,0.579358058316367,0.4537890298025949,1440.142857142857,29.142857142857142,0.0,1398.0,0.0,0.0,1.0,0.0
01_nq_closed_book,1,Low-N-Beg,0.3333333333333333,0.6356182098388672,0.4,2.0,0.0,0.6356182098388672,18.0,1.0,2.0971055030822754,,,0.410888671875,0.7789488732814789,0.33,0.2210511267185211,0.6356182098388672,638.0,24.0,0.0,601.0,0.0,0.0,1.0,0.0
01_nq_closed_book,1,Low-N-End,0.3,0.6537652015686035,0.45,2.0,0.0,0.6537652015686035,25.0,1.0,2.206150770187378,,,0.46240234375,0.5357462763786316,0.33,0.4642537236213684,0.6537652015686035,726.0,35.0,0.0,678.0,0.0,0.0,1.0,0.0
01_nq_closed_book,1,Low-N-Mid,0.3,0.6537652015686035,0.45,2.0,0.0,0.6537652015686035,25.0,1.0,2.2407734394073486,,,0.494140625,0.5373607277870178,0.33,0.4626392722129822,0.6537652015686035,731.0,35.0,0.0,683.0,0.0,0.0,1.0,0.0
01_nq_closed_book,1,Low-P-Beg,0.7692307692307693,0.6399344801902771,0.2307692307692307,2.0,0.0,0.6399344801902771,16.0,6.0,2.3747079372406006,,,0.4091796875,0.7360167801380157,0.33,0.2639832198619842,0.6399344801902771,579.0,26.0,0.0,540.0,0.0,0.0,1.0,0.0
01_nq_closed_book,1,Low-P-End,0.8,0.5157088935375214,0.47777777777777775,2.0,0.0,0.5157088935375214,13.5,4.5,2.1671653985977173,,,0.3658447265625,0.6576018184423447,0.33,0.34239818155765533,0.5157088935375214,535.0,19.0,0.0,503.0,0.0,0.0,1.0,0.0
