domain,question_id,interference_score_lexical_wrt_distractors,evidence_overlap_ratio,hallu_score,distractor_density,evid_overlap_ngram,evid_overlap_emb,total_response_tokens,interference_token_hits,att_avg_entropy,attention_entropy,cross_attention_mass_to_gold,distractor_attention_max,hallucination_score,distractor_density_chunk,chunk_hallu_score,evidence_overlap_emb,seq_len,resp_len,gold_len,dist_len,cross_attention_mass_to_gold_raw,gold_found,dist_found,gold_available
01_nq_closed_book,0,-0.71756551945396,-0.6099299209686015,-0.7734094099580243,0.0,1.1917549466357333,-0.6099299209686015,0.277215502203968,-0.5422277941912094,0.3944442107612565,0.0,0.0,-0.5296128426685459,-1.2265784821394854,0.2473042162120727,1.2265784821394854,-0.6099299209686015,0.9181442081636005,0.2329206197016913,3.15053224399947,0.47210919295241455,3.2791967034999128,2.1095635562676973,0.0,2.1095635562676973
01_nq_closed_book,1,-1.697828536955904,0.9615082165519288,0.44021521449541035,0.0,-0.9489070062894275,0.9615082165519288,-0.07752048271122255,0.3766923846819771,-1.0636910457747444,0.0,0.0,2.2778777964417154,1.2624977025773239,0.2473042162120727,-1.2624977025773239,0.9615082165519288,-0.12101203671258967,-0.15414683748945693,-0.4341568464405955,-0.04702847796390483,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,2,0.8374370915349783,-0.09943607038277633,0.6324334270700047,0.0,-0.163353525765295,-0.09943607038277633,0.531280019518519,0.8161098694315481,0.07895831960388447,0.0,0.0,-0.9961675817656886,-0.4398016992339764,0.2473042162120727,0.43980169923397555,-0.09943607038277633,0.44980552951565644,0.5143660878282602,-0.03648927697814769,0.42505744030138976,-0.06908174379577871,0.12708214194383716,0.0,0.12708214194383716
01_nq_closed_book,3,0.7341399049635361,0.14195847752702062,0.1418026361764351,0.0,1.958297228703166,0.14195847752702062,0.977623294357297,1.6960253347994831,0.6945954581088793,0.0,0.0,-0.3670357670657493,-0.6181434978752911,-0.5576805929929561,0.6181434978752911,0.14195847752702062,-0.7271877825048352,0.9146393020912962,1.1252681223800034,-1.0031593016266258,0.7962107540772919,2.439977125321674,0.0,2.439977125321674
01_nq_closed_book,4,-0.6974279901379824,0.7349783189711926,-0.08470249262989714,0.0,1.6163279343566965,0.7349783189711926,1.0905883332617525,-0.25745182806945865,-1.3440818324771655,0.0,0.0,-0.932455752136556,-0.6270141960451898,0.2473042162120727,0.6270141960451894,0.7349783189711926,-0.2974878985752913,0.3422455671719503,-0.33189947143596604,-0.2901291999942044,-0.34797804139788224,0.12708214194383716,0.0,0.12708214194383716
01_nq_closed_book,5,0.36497052567155425,2.0923287032169546,-2.2006534626173546,0.0,-0.1710183691756675,2.0923287032169546,-1.8965307846314883,-0.5968295039769828,0.44702288029523163,0.0,0.0,0.3554008260495865,-0.3226797579529723,-0.13151216459029433,0.3226797579529715,2.0923287032169546,-0.5500856293124478,-1.7602312760005228,-0.4341568464405955,-0.357062624598751,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,6,-0.7929330728167928,0.12286072983241113,0.9872226075537095,0.0,-0.9625855847717125,0.12286072983241113,0.7351208199227747,0.025790684953264364,-0.5162759369329287,0.0,0.0,-0.5240458410348338,0.9685047513077605,1.2441894288498787,-0.96850475130776,0.12286072983241113,0.5763143447320629,-0.037517563436486046,-0.4341568464405955,0.6620084157132654,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,7,-0.6328064912474011,-0.7942007987876232,1.390118991528914,0.0,-1.026432654830967,-0.7942007987876232,0.7369115841549893,0.012035965158075644,0.7915927496329951,0.0,0.0,0.6845713047777724,2.179824299885188,1.2441894288498787,-2.179824299885188,-0.7942007987876232,0.6932162202515437,0.3160811431202935,-0.4341568464405955,0.7533878721776252,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,8,0.6775674675593245,-1.173258700813411,0.5847016603070925,0.0,-1.0119670848665545,-1.173258700813411,-0.6329258255995045,0.35275524543491876,-1.0075129963692189,0.0,0.0,-1.3326538621729915,-0.6766663943510981,0.2473042162120727,0.6766663943510985,-1.173258700813411,-0.037582856359006565,-0.41491831407158253,-0.4341568464405955,0.06040635725593719,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,9,1.0891300977740197,-1.1706587561978128,-0.4599334041678689,0.0,-0.9891995356182185,-1.1706587561978128,-1.9527846664587396,-1.9398907580055633,2.0217119108259634,0.0,0.0,1.3398349782862282,-0.17572220050814558,0.2473042162120727,0.17572220050814516,-1.1706587561978128,1.1759536316037669,-1.3415415369500712,-0.4341568464405955,1.3872657820148664,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,10,1.1831614464475741,-0.08434421725874142,0.8780079782091165,0.0,0.0031161273490921066,-0.08434421725874142,0.9152379249315951,1.7716006777099635,1.2682205940776448,0.0,0.0,0.16755076434544397,1.0128330788601172,0.2473042162120727,-1.0128330788601176,-0.08434421725874142,1.2926280716745775,2.388104643514398,-0.4341568464405955,1.2006271631657979,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,11,1.1691613789756052,1.2329392140067201,-1.6417495740315324,0.0,0.43390477279152667,1.2329392140067201,-0.8570334678237245,-0.6313271458330373,-1.0503652195416489,0.0,0.0,-0.797997226218394,-1.2729813838064676,-0.5576805929929561,1.2729813838064676,1.2329392140067201,-0.8305722483390101,-0.905618752492872,-0.4341568464405955,-0.716437683909437,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
01_nq_closed_book,12,-1.5170063023145455,-1.3547451956972618,0.10594582806400288,0.0,0.07006275148162865,-1.3547451956972618,0.15281774887378613,-1.0832831320929728,-0.7146190922102562,0.0,0.0,0.6547332031619911,-0.06407222071776268,-2.9726350206080427,0.0640722207177631,-1.3547451956972618,-2.542133554138001,-0.09438308298690747,-0.4341568464405955,-2.5470449354884117,-0.4064830747092826,-0.5337449961641162,0.0,-0.5337449961641162
