domain,question_id,interference_score_lexical_wrt_distractors,evidence_overlap_ratio,hallu_score,distractor_density,evid_overlap_ngram,evid_overlap_emb,total_response_tokens,interference_token_hits,att_avg_entropy,attention_entropy,cross_attention_mass_to_gold,distractor_attention_max,hallucination_score,distractor_density_chunk,chunk_hallu_score,evidence_overlap_emb,seq_len,resp_len,gold_len,dist_len,cross_attention_mass_to_gold_raw,gold_found,dist_found,gold_available
01_nq_closed_book,0,0.5842555375726515,0.47986606847171676,0.2819202842892057,2.0,0.01918700762343547,0.47986606847171676,21.266997354497352,3.79537037037037,2.4792812381510134,,,0.39335509167662486,0.29991988533221126,0.5,0.7000801146677887,0.47986606847171676,1210.546376463043,31.32415424082091,35.05555555555556,1129.388888888889,24.463541666666668,0.2222222222222222,1.0,0.2222222222222222
01_nq_closed_book,1,0.5335365896912738,0.6082198127276368,0.4543998486235615,2.0,0.0006705858461181333,0.6082198127276368,20.024691358024693,4.435185185185185,2.3766510950194464,,,0.4368806061921296,0.6325107048737046,0.5,0.36748929512629536,0.6082198127276368,1134.679012345679,29.0679012345679,0.0,1092.611111111111,0.0,0.0,1.0,0.0
01_nq_closed_book,2,0.6647115937269863,0.5215627764602976,0.48171777946805605,2.0,0.007465511852136143,0.5215627764602976,22.15674603174603,4.741137566137565,2.4570759166485416,,,0.3861219295118221,0.4050491443840126,0.5,0.5949508556159873,0.5215627764602976,1176.3536155202821,32.9647266313933,3.888888888888889,1126.0555555555557,2.239486882716049,0.05555555555555555,1.0,0.05555555555555555
01_nq_closed_book,3,0.6593669826088794,0.5412796799306913,0.411989641659008,2.0,0.025817489463649756,0.5412796799306913,23.719866071428573,5.353794642857142,2.5004072381831266,,,0.39587558124316546,0.3812190803093096,0.47875,0.6187809196906904,0.5412796799306913,1090.4229572510822,35.29795725108225,15.25,1024.875,7.982828776041667,0.25,1.0,0.25
01_nq_closed_book,4,0.5852974562022449,0.5897170413832461,0.3797988759569626,2.0,0.022859503649795207,0.5897170413832461,24.11547619047619,3.9936507936507937,2.356915925430032,,,0.387109676408179,0.3800337759814039,0.5,0.619966224018596,0.5897170413832461,1121.7947530864196,31.961419753086417,1.0,1075.388888888889,0.3883246527777778,0.05555555555555555,1.0,0.05555555555555555
01_nq_closed_book,5,0.640266106442577,0.7005842781680471,0.0790812618753795,2.0,0.007399212045550796,0.7005842781680471,13.654411764705882,3.7573529411764706,2.4829819623161766,,,0.40707576976102944,0.42069899981074466,0.49,0.5793010001892552,0.7005842781680471,1103.3529411764705,19.705882352941178,0.0,1070.6470588235295,0.0,0.0,1.0,0.0
01_nq_closed_book,6,0.5803560096472813,0.5397197919752381,0.5321401934891391,2.0,0.0005522680855086028,0.5397197919752381,22.870608339029392,4.19086352244247,2.4151806420700295,,,0.393441398860357,0.5932273124237097,0.5263157894736842,0.4067726875762903,0.5397197919752381,1185.5898496240602,29.74774436090226,0.0,1142.842105263158,0.0,0.0,1.0,0.0
01_nq_closed_book,7,0.5886409817415438,0.46481497828835433,0.5893995728554952,2.0,0.0,0.46481497828835433,22.87687969924812,4.181286549707602,2.5072343455230475,,,0.412179015431868,0.7550840542388804,0.5263157894736842,0.24491594576111964,0.46481497828835433,1194.1246943115364,31.808904837852207,0.0,1149.3157894736842,0.0,0.0,1.0,0.0
01_nq_closed_book,8,0.6564399166551533,0.4338538479370376,0.4749341709532866,2.0,0.00012512512512512502,0.4338538479370376,18.07962962962963,4.4185185185185185,2.3806051597919,,,0.38090526439525463,0.37339924007286257,0.5,0.6266007599271375,0.4338538479370376,1140.770061728395,27.54783950617284,0.0,1100.2222222222222,0.0,0.0,1.0,0.0
01_nq_closed_book,9,0.6777342256508923,0.4340662092246391,0.32647129604237446,2.0,0.00032206119162640746,0.4340662092246391,13.457407407407407,2.822222222222222,2.593815686325433,,,0.4223377985585017,0.440335495780012,0.5,0.5596645042199879,0.4340662092246391,1229.3686868686868,22.146464646464647,0.0,1194.2222222222222,0.0,0.0,1.0,0.0
