row_id,layer,head,entropy,eff_rank,head_sim,self_attn_ratio
1,0,0,4.51667738,1.000018716,0.821452498,0.019117456
1,0,1,0.412484646,1.000032067,0.818202794,0.874002218
1,0,2,4.693283081,1.000014186,0.810848176,0.038656157
1,0,3,0.421245366,1.000031233,0.799900472,0.832119584
1,0,4,1.139799118,1.000029087,0.794106424,0.591623962
1,0,5,1.314940929,1.000026464,0.791259587,0.668693066
1,0,6,4.356979847,1.000022054,0.750884116,0.030456889
1,0,7,1.831111908,1.000028014,0.762865245,0.154980943
1,0,8,4.272661209,1.000025034,0.818913102,0.059871674
1,0,9,4.661624432,1.000019193,0.857171416,0.020126721
1,0,10,4.247282028,1.000025868,0.885416031,0.162035361
1,0,11,5.456026554,1.00001514,0.733838499,0.007275546
1,1,0,2.303262472,1.000028491,0.703957319,0.098820269
1,1,1,2.749585867,1.000022292,0.707631707,0.095656507
1,1,2,4.761095524,1.000015974,0.693999052,0.025674652
1,1,3,4.317904949,1.000001431,0.701706886,0.034980416
1,1,4,3.748047829,1.000011802,0.821403086,0.069724314
1,1,5,4.606851578,1.000010967,0.832611501,0.081120647
1,1,6,4.477692127,1.000010014,0.820698977,0.037899848
1,1,7,4.97168684,1.000011683,0.836668193,0.017169593
1,1,8,5.355663776,1.000004172,0.804498434,0.009246904
1,1,9,5.4543643,1.000007272,0.786412001,0.006344814
1,1,10,4.468055248,1.000014067,0.611283183,0.040582191
1,1,11,1.677797198,1.000028253,0.763836086,0.679948866
1,2,0,2.53682518,1.000001073,0.894427299,0.098999575
1,2,1,4.829911709,1.000000954,0.883609593,0.010889372
1,2,2,1.060683608,1.000004172,0.897214115,0.113767423
1,2,3,1.935717225,1.000005007,0.868938684,0.133216992
1,2,4,1.695114613,1.000000119,0.881161273,0.07904698
1,2,5,1.862945199,1.000003338,0.889533758,0.136511698
1,2,6,2.778953075,1.000003576,0.841700613,0.074301824
1,2,7,2.596037388,1,0.855722666,0.03238567
1,2,8,1.942111135,1.000001669,0.904659808,0.114619598
1,2,9,1.772372484,1.000005722,0.872085035,0.127910182
1,2,10,3.129626751,1.000029564,0.50187248,0.127689674
1,2,11,3.141434669,1.000000358,0.895828247,0.109548092
1,3,0,2.789091349,1,0.994952381,0.066811472
1,3,1,1.885856271,1.000000119,0.994930327,0.059453968
1,3,2,1.438715696,1.000000358,0.99001497,0.107075632
1,3,3,0.901951313,1,0.994996428,0.056210298
1,3,4,3.626986265,1,0.995269179,0.008803
1,3,5,2.669499874,1,0.995899796,0.034717388
1,3,6,1.676354885,1.000000358,0.987088919,0.149069041
1,3,7,1.425474644,1.000000358,0.992607355,0.109416209
1,3,8,1.562948346,1.000000238,0.991994321,0.113688275
1,3,9,1.541361213,1,0.995463192,0.067489959
1,3,10,1.7535851,1,0.995105922,0.163293064
1,3,11,1.797454953,1,0.994664609,0.093448497
1,4,0,1.232830644,1,0.916813314,0.051598169
1,4,1,1.553765774,1,0.917172968,0.056088086
1,4,2,2.274563313,1,0.915109813,0.015167408
1,4,3,1.606204033,1,0.917667806,0.066917837
1,4,4,2.895886421,1,0.915824711,0.040447421
1,4,5,1.499467015,1,0.916341722,0.061648596
1,4,6,2.021083117,1,0.916547179,0.037883338
1,4,7,1.85913384,1.000000596,0.919471502,0.469549
1,4,8,3.532338619,1,0.917822838,0.016549382
1,4,9,1.770667791,1,0.916317225,0.034475837
1,4,10,3.300723791,1,0.915906489,0.012544927
1,4,11,0.010144331,1.000029683,0.132234007,0.003851565
1,5,0,2.206946135,1,0.998095512,0.012340368
1,5,1,0.259111524,1,0.997753203,0.00415016
1,5,2,1.378806114,1,0.998036802,0.019373059
1,5,3,2.233405113,1,0.996143579,0.029511312
1,5,4,1.476514339,1,0.99798733,0.047614153
1,5,5,1.887091398,1,0.99811995,0.011175798
1,5,6,0.629993141,1,0.997910738,0.022898652
1,5,7,0.939556241,1,0.998004019,0.037144177
1,5,8,1.060155153,1,0.998050869,0.027541744
1,5,9,2.856361628,1,0.99834311,0.006368386
1,5,10,3.590937853,1.000000238,0.986520588,0.044572495
1,5,11,2.545366764,1,0.998217821,0.099533275
1,6,0,1.788241625,1.000000119,0.996557474,0.033987604
1,6,1,0.616564989,1,0.998045683,0.017836936
1,6,2,3.476535082,1,0.997917771,0.011625363
1,6,3,1.509178162,1,0.998438835,0.014972208
1,6,4,3.671688318,1.000000238,0.991438627,0.023068989
1,6,5,1.686580777,1,0.998519361,0.061255604
1,6,6,2.679099321,1,0.998568952,0.067651734
1,6,7,2.16773963,1,0.99838984,0.042504851
1,6,8,1.204044104,1,0.998358965,0.025923952
1,6,9,0.614361703,1,0.99803251,0.004322228
1,6,10,3.352010727,1,0.998295546,0.010664433
1,6,11,1.463573933,1,0.998194933,0.041452121
1,7,0,1.106167316,1,0.999018908,0.027531559
1,7,1,2.519140244,1,0.99896884,0.014340275
1,7,2,0.640383005,1,0.999377966,0.003698489
1,7,3,1.430198908,1,0.999551952,0.039542805
1,7,4,0.933544636,1,0.9994784,0.013763509
1,7,5,2.582782984,1,0.998479068,0.024326082
1,7,6,3.050298691,1,0.999408007,0.010888818
1,7,7,2.125387669,1,0.999373674,0.010686144
1,7,8,1.233302593,1,0.999354959,0.035202201
1,7,9,1.297976017,1,0.99947834,0.025592329
1,7,10,0.736196756,1,0.99938339,0.003834747
1,7,11,2.173851967,1,0.999490976,0.00702722
1,8,0,3.278580189,1,0.998691201,0.019672964
1,8,1,1.192549944,1,0.998767674,0.008169272
1,8,2,3.884147882,1.000000119,0.995291293,0.010782677
1,8,3,1.751388311,1,0.998937249,0.017404815
1,8,4,1.081333876,1,0.998872936,0.040587466
1,8,5,1.884444952,1,0.99838829,0.034390032
